学号,姓名,电话,英语,数学,物理,计算机二级,行数
17471508,曹龙,13471932574,57,94,69,96,578
16357332,张军,11363169231,72,57,99,91,579
16390134,施明玲,17834083305,77,79,53,68,580
17112807,谢刚凡,10744493032,88,87,98,63,581
16392788,施军,11545969434,40,43,45,44,582
16556905,金欣楠,19163128816,80,95,83,63,583
16576247,严明,14692178725,81,53,97,90,584
17402554,曹明,13945306052,67,58,74,82,585
17120474,陶玲,17256840857,49,77,56,95,586
16180819,赵玲玲,16953713226,71,50,57,55,587
16346436,王玲,12488950374,77,45,77,81,588
16281727,窦刚凡,16403894344,65,66,86,60,589
16588624,谢默妍,19492479075,88,51,66,54,590
17734539,章默立,18365179579,60,86,63,55,591
16217961,华默玲,15921225493,50,53,95,85,592
17271362,陶默,19720220717,56,84,40,91,593
16411118,陶默,19744019377,67,82,92,78,594
16905633,魏玲立,15069240952,70,90,67,55,595
17410599,窦军涵,19810752737,42,70,49,80,596
17258419,柏芳,16714252220,79,96,51,67,597
16866978,曹靖,18949337637,65,46,75,58,598
16634890,何芳,10874979730,84,76,74,49,599
16098315,吕靖妍,18017532724,49,40,41,84,600
16860358,章靖妍,11506858775,53,41,56,85,601
16249336,水欣,11564418833,80,78,44,92,602
17280169,孔刚楠,17787658061,53,41,60,94,603
16107849,郑默,19600009908,94,46,49,41,604
16453358,金刚国,15278088358,85,42,43,51,605
16812408,秦玲楠,17720588921,47,63,98,48,606
16740607,谢军,17195946802,43,99,86,80,607
16830530,秦靖,13056357809,63,89,54,50,608
17342567,金默立,19063024411,44,85,75,68,609
17375123,章明国,13513033769,56,98,51,65,610
17043707,郑芳,18049912437,75,55,45,44,611
17222027,吕军,16554188405,63,56,95,61,612
17992979,华刚国,19205423919,94,48,49,60,613
16738222,陶靖,13452066231,61,45,86,84,614
16589424,章芳妍,16511680559,96,97,46,89,615
16417970,曹诗玲,17564660225,70,99,70,87,616
17085275,窦明玲,19850875951,66,46,59,60,617
16267317,谢刚凡,15927653523,94,66,42,100,618
17280476,金龙,12391666009,84,71,76,70,619
17304492,华欣玲,11060931009,45,86,48,60,620
16058328,金欣妍,18600811509,82,99,69,60,621
16245187,金龙凡,14561913545,96,41,41,97,622
16562614,吕明国,18718344357,49,48,51,97,623
16473281,窦刚,12058283345,55,79,89,76,624
16662890,张欣国,14900585771,76,54,68,50,625
17288284,窦刚,10275173450,86,82,48,51,626
16904483,魏靖,13296300884,60,48,63,48,627
16905363,柏玲楠,12732985432,67,70,97,56,628
16174577,姜默国,17072401480,56,90,88,55,629
16750456,王玉妍,16386469831,50,47,48,100,630
16253467,王默国,19665526776,88,65,65,86,631
16103728,邹刚玲,18317965518,62,66,57,89,632
16982058,金玲,14120840508,67,56,85,63,633
17321876,戚欣凡,11829854447,97,71,49,99,634
16146524,何明楠,19854079199,96,54,55,82,635
16258739,金玲,18442316355,62,95,99,92,636
16780640,金军立,17906308030,59,58,58,64,637
16833643,华靖涵,15126000410,65,50,50,71,638
17226578,陶刚妍,10881729715,95,63,59,40,639
17740333,李刚妍,12051405063,82,100,78,97,640
16629175,孔玉国,18320523700,60,69,47,49,641
17493985,华靖玲,11693753011,45,50,81,51,642
17119600,谢诗,16280791637,79,68,71,63,643
16592875,戚刚,13378566260,96,97,74,97,644
16853066,喻诗,17766832800,50,99,65,70,645
16831082,华欣,10957892916,82,46,75,91,646
17681284,柏靖凡,12525581619,43,97,41,61,647
16505548,谢欣楠,15120113580,64,42,74,78,648
16069925,曹芳,14173146582,71,99,59,93,649
16948822,李玉妍,12787352416,48,48,55,90,650
17427169,赵龙凡,19206252914,81,92,48,84,651
17871209,喻默楠,10350378594,44,79,62,52,652
16786060,李明凡,17163983418,62,40,68,63,653
16521423,柏欣楠,13292901661,85,100,51,75,654
16310122,姜靖,18980182847,65,72,60,98,655
16753337,喻龙玲,19765168976,76,74,65,63,656
17777088,张欣,13234147782,92,89,42,51,657
17314464,章靖立,14005620433,82,92,42,48,658
16115424,谢诗,16873715099,68,61,96,92,659
16428990,孔刚立,19705636718,100,82,93,97,660
16707819,金明,11669802876,55,46,89,48,661
16926973,王靖,18096452295,65,46,56,100,662
16585975,姜欣凡,14474158880,100,99,42,43,663
17725297,张军,16948608430,59,66,62,56,664
16729143,邹默,13733330188,56,86,75,58,665
17943104,孔军,17693256638,56,91,42,74,666
17462110,孔靖玲,18865998971,42,41,68,60,667
16637125,华龙妍,18580840119,40,40,72,71,668
17219290,李明,17890483698,50,94,42,78,669
16822988,郑刚,19302352837,63,64,93,78,670
16219822,华诗,13912471752,59,81,81,51,671
16830119,施默楠,15367099743,77,62,96,80,672
16243020,水欣,13824313018,70,61,52,55,673
17400373,张刚凡,19764541105,57,40,78,46,674
17802082,秦靖立,14969309093,63,65,92,71,675
17099896,施默妍,18494997927,86,48,73,90,676
16652718,邹玉,13063423371,76,81,92,55,677
17469053,水军,13799361204,57,74,49,43,678
16960053,郑玲,12931765498,70,50,76,60,679
16914645,郑龙国,12522134742,48,56,69,56,680
16857277,李默楠,12401174875,87,81,87,70,681
17959351,柏靖国,16396691898,62,79,94,67,682
17024277,张军,10157010602,40,68,53,87,683
16439923,邹玲,18456507750,47,48,95,88,684
16698798,张诗,13417915571,95,48,66,41,685
16005446,姜默国,16267688825,45,86,42,80,686
16502574,魏靖国,12755629341,46,89,55,78,687
17987869,王欣,10177343519,73,58,91,63,688
17473935,陶靖,19883420382,64,90,59,75,689
16056677,金玉国,12877920526,64,66,61,83,690
16884589,柏默玲,16948908074,41,68,74,92,691
16299655,邹龙楠,11571756049,42,94,44,44,692
16596782,孔诗,19071983612,50,59,68,41,693
17268067,谢刚凡,10099790568,79,91,88,97,694
17882491,曹靖立,10687694578,86,50,93,46,695
16988665,魏明妍,10460105899,67,44,70,44,696
16981458,金龙,19533160000,98,93,86,64,697
17298611,戚玲,19541579202,84,64,45,68,698
16855667,郑玉凡,12895723196,45,96,43,45,699
16886887,秦军,17384029430,50,97,83,78,700
17011935,邹芳玲,19112796687,66,69,98,70,701
16884385,陶诗,12031195098,42,80,69,61,702
16724463,何欣,15573056124,83,67,80,92,703
16175766,郑刚楠,14528221510,60,84,47,96,704
16103468,华明妍,18245970388,45,82,56,42,705
16999424,王刚国,10607300252,78,81,97,72,706
17636367,李玲楠,17458709453,95,61,68,100,707
17965320,张刚,16005961587,57,59,47,46,708
17653129,戚芳,12581437898,66,40,74,100,709
17589560,郑芳妍,10804552729,66,64,46,74,710
16958199,曹军,17235540278,43,96,45,58,711
16902070,金玲,17583363913,51,98,78,78,712
16725305,孔军涵,12027892082,46,84,70,48,713
17790114,孔芳玲,18047193569,40,71,66,58,714
16757248,章明,15817142925,71,79,64,100,715
16117168,章龙楠,18148667171,68,71,98,99,716
17498278,施龙玲,15734787861,54,85,45,78,717
17528633,赵刚妍,19220326281,92,95,52,95,718
16011315,姜芳国,15991635408,100,95,93,52,719
17586755,施默,18850322894,97,78,73,44,720
16375174,魏默,11591909444,92,91,96,92,721
17112881,金军,10813191422,97,96,81,75,722
17227844,张默凡,12684775620,80,63,60,75,723
16699780,喻玉,13072107622,95,66,56,71,724
16899995,陶龙国,19296196318,85,81,85,43,725
16564386,陶明,10352785880,47,86,66,74,726
16790473,郑刚立,18628119397,72,96,65,98,727
17833413,柏明,19185393279,99,64,42,69,728
17400060,魏诗,12599642195,82,49,51,81,729
17701904,水默涵,19584626386,74,60,70,42,730
16435823,姜诗,17071098195,79,58,46,46,731
16022403,金军凡,18189092555,97,59,54,87,732
17290429,张芳,16094094810,64,80,76,91,733
17136215,喻芳楠,10891335149,59,96,95,85,734
16002242,张玉,13033399768,86,76,48,82,735
16944649,何芳,19164746553,41,49,68,48,736
16606432,秦明,14576754984,44,75,40,92,737
17019534,赵明立,19174345603,63,98,47,77,738
17578726,何龙,11252444357,41,79,95,81,739
17142927,姜芳,12792110072,88,82,86,94,740
16225358,谢欣妍,19655425313,78,42,60,63,741
17531647,金龙立,10487575930,48,47,40,86,742
16445451,柏玉凡,19228615439,80,46,42,69,743
17445826,喻玲国,14838038705,73,96,67,51,744
16085100,何玲,12994254365,67,47,76,61,745
16079727,秦刚,16339616405,81,85,49,76,746
17715866,陶靖,10312538226,97,50,96,63,747
16312248,施默国,15499851938,91,58,53,49,748
16429480,秦诗国,17064010838,50,91,97,88,749
16170459,施刚,18614966136,69,82,80,60,750
16532229,水玉,19510893316,70,65,44,61,751
16538909,李靖,10116875863,41,80,74,69,752
16271245,曹龙楠,11822550084,70,96,42,54,753
17421066,李靖妍,17059617437,100,54,68,61,754
16789910,柏芳立,12419712881,51,73,75,94,755
16364662,水芳妍,19547792206,97,93,54,81,756
17226951,王默涵,12271127874,45,80,95,73,757
16729704,秦靖楠,13937699717,73,61,52,54,758
17762569,章玉,18416450932,74,66,79,69,759
17766755,章诗妍,13146493753,75,53,55,50,760
16869599,金靖楠,19654849833,77,68,96,62,761
16234373,邹军国,11892837248,94,86,91,41,762
17981567,姜诗,11770044073,85,81,49,58,763
17377633,柏诗,10689401488,63,56,84,44,764
16720940,陶龙立,16845536849,90,52,93,88,765
16951301,窦刚,13623499430,71,52,90,85,766
16592448,邹芳,17927854755,40,62,64,94,767
17576212,谢明,13058721178,69,49,44,71,768
16170577,吕欣,18174371201,56,56,52,58,769
17104304,金刚涵,11435685081,58,85,76,46,770
17152355,窦靖涵,18314928607,86,76,85,41,771
17126371,吕龙立,18893474029,56,52,64,85,772
17189694,金明,14888334977,46,74,67,67,773
16773275,邹龙楠,19415755089,45,88,46,76,774
17094805,何玲凡,16430615917,91,49,92,73,775
16381399,陶明凡,14938775652,81,62,79,96,776
16224985,窦欣玲,15115215479,86,46,79,42,777
16729826,华玲,16748422293,45,85,58,57,778
16425785,章玲,16209114268,72,81,43,45,779
17700541,陶靖玲,17632926905,87,62,63,67,780
16507324,戚靖凡,15349089445,54,80,55,48,781
16091340,姜靖涵,14928614360,99,93,62,95,782
16192521,姜欣妍,14816284761,85,68,52,60,783
17257590,柏玉楠,11780168045,90,100,69,84,784
16888856,王军,14876867543,52,54,40,46,785
17199940,赵诗,17170147936,44,44,45,74,786
16775709,姜明玲,16004228106,45,40,64,44,787
17399099,郑默楠,19809206503,88,99,70,75,788
16909421,孔欣,15698821058,80,80,53,47,789
17757145,金默涵,10677448988,48,71,78,80,790
16561758,秦玲,18584593906,57,81,63,64,791
17359584,华刚国,12161444033,77,61,58,68,792
16160022,陶龙,13515639236,43,99,40,69,793
17732568,章靖玲,14296587747,64,73,57,41,794
16146777,何默妍,14320213458,54,87,48,42,795
17508839,赵欣立,14158477421,54,63,94,49,796
16920673,邹龙楠,12961872047,40,79,84,98,797
17921328,秦玉楠,11010182606,58,82,46,72,798
17930409,张靖,11508414721,91,82,93,49,799
16819057,张诗,16842625818,45,75,76,68,800
16490052,章玲,19794797417,66,65,49,84,801
17181147,赵刚涵,10245328303,47,56,49,43,802
17713482,严玉,14437668466,77,47,59,90,803
16296504,孔默妍,15445851612,43,63,77,63,804
17750637,戚明,14370037748,49,62,62,68,805
17362875,魏龙,18291900665,57,94,75,84,806
16773964,金靖凡,12612328370,74,79,88,47,807
16568337,谢玲涵,18876131910,59,92,67,89,808
16485029,王诗,12170194637,43,45,47,62,809
17092579,吕明,14661476945,41,85,66,74,810
16255310,张玲,14924339671,55,63,40,83,811
16306101,曹芳玲,16586669218,63,100,88,48,812
16237516,李龙,19044173525,50,94,51,78,813
17089649,华刚国,17097336688,61,97,99,100,814
17471621,严玲,14861490819,76,79,53,55,815
17349732,张靖,14655357629,87,43,70,62,816
16802239,柏玲,15803943676,82,96,85,96,817
16985920,魏刚凡,16515225249,76,54,55,100,818
17952991,何诗立,14180662148,75,65,53,84,819
17182707,华诗,10508649208,85,96,99,80,820
17664338,张明,15270289155,60,53,50,40,821
17067074,邹芳楠,10989976246,78,45,68,100,822
16613385,曹欣,14514324869,76,45,83,100,823
17994289,章玉涵,14499789026,95,85,43,80,824
17198555,何玲,11933324407,75,74,55,68,825
17407119,孔欣妍,17045651330,42,72,71,40,826
17389699,柏刚,13958510616,85,47,61,44,827
16382166,谢诗,15395077155,75,69,53,41,828
17250981,水军,10081464286,63,99,55,87,829
16180052,魏玲,18891418301,66,69,91,69,830
16770874,魏玲玲,11052526269,71,71,72,45,831
17073243,孔玉玲,18042959926,92,53,87,93,832
16799693,张诗立,14221291915,79,50,83,94,833
16002305,张明,16863676518,56,95,62,57,834
16379036,章玲,12531684553,66,47,69,64,835
16517825,水芳玲,15380994880,43,73,50,45,836
16732393,王欣,11622625792,97,80,89,93,837
16280712,魏芳,17751627296,72,93,87,79,838
17708443,郑龙,10814299140,84,79,77,49,839
17208691,孔明立,15467354236,91,96,72,68,840
17690952,张欣妍,11904510015,42,85,97,58,841
17197925,秦玉,11353169850,66,41,42,99,842
17096218,孔默立,12208142782,54,70,82,57,843
17827387,郑龙,14154120571,70,93,45,56,844
17653152,谢诗,19149540336,83,54,69,65,845
17630243,章芳凡,18404882260,98,54,46,58,846
16553934,水诗,12567609890,69,60,91,42,847
16752258,张诗,11884797202,92,47,42,96,848
16555429,华明国,17682965759,79,65,52,68,849
16884828,严靖妍,16852766986,61,91,41,45,850
16362781,金玲,17080822608,86,50,54,74,851
17118102,吕默凡,11074887164,66,48,48,90,852
17857419,曹玲楠,17134279348,43,78,63,80,853
16429913,吕刚涵,11734470425,99,50,75,89,854
17689632,张刚,17095595195,88,79,42,73,855
17329866,金明妍,14744214042,80,76,91,43,856
17991160,吕玉立,17856592163,77,86,60,43,857
16544181,魏玲国,16152834193,90,64,58,64,858
17232889,戚玲,15381935237,42,46,66,81,859
17502869,戚芳凡,15650292542,98,75,55,41,860
17572366,陶明,13626945543,57,95,70,98,861
17716022,何诗,16823196586,47,87,78,53,862
16413527,孔刚妍,11239862947,92,65,57,75,863
17241980,陶玉玲,15790836818,62,52,95,41,864
17805766,张军,10555925305,74,51,96,88,865
16016725,曹玲国,16949969806,47,82,95,93,866
16894922,孔玉楠,18471358778,76,88,91,51,867
17304169,赵诗妍,19740813769,84,98,82,73,868
17472337,戚玲国,15018077957,93,85,99,95,869
16628908,陶芳玲,15835504525,60,80,86,74,870
16323801,戚军凡,19325284219,45,47,77,46,871
17136413,施靖,10438005283,76,73,75,71,872
17616121,邹芳楠,19930441120,58,67,97,71,873
16667103,严军楠,18456951020,99,45,55,75,874
17197369,严默,11900133370,62,44,50,70,875
17096086,柏刚玲,16299746792,52,65,70,48,876
17895173,魏靖,17837928804,68,75,87,87,877
16894747,魏龙国,14069581821,41,75,52,84,878
16685535,柏明,12253438225,47,85,97,57,879
16102534,华诗妍,19465589406,92,65,81,92,880
17226675,陶军立,17234582700,91,58,97,95,881
16217989,窦军国,13257707407,81,41,75,94,882
17324623,张玉凡,11212493193,52,97,64,90,883
16963393,张龙,16301887959,78,47,50,58,884
16016148,吕明,12103479058,96,47,56,68,885
17506695,严玉凡,13684744665,87,81,72,86,886
16323350,邹靖国,16361359034,90,60,86,59,887
17104895,谢欣,14317390253,44,67,80,44,888
17956915,孔靖,13483201104,60,89,52,62,889
16433635,谢明玲,11113413659,92,61,71,61,890
16801174,曹靖妍,12685094791,47,42,80,46,891
16191035,王诗玲,10946666574,72,79,85,99,892
16931550,何欣凡,11782986570,89,71,80,75,893
17010633,李欣,14812854693,74,65,92,77,894
16307333,谢芳立,12936192319,82,77,70,66,895
17415379,秦龙妍,10924426174,75,90,76,87,896
16300868,张默,12749225641,47,46,71,79,897
17441507,吕龙,16339627116,49,90,63,54,898
16225335,李芳涵,18107674622,93,50,69,55,899
17931919,戚刚,18778444457,49,85,62,54,900
17170730,喻靖,18096784637,95,78,98,97,901
17786476,窦军楠,13381784403,72,86,41,54,902
17107359,戚欣凡,17411940680,90,49,97,66,903
16044963,柏芳,13320869244,97,46,54,41,904
17369476,谢欣,10584966485,47,98,80,58,905
16789384,章刚,16221056108,91,94,94,99,906
17675110,戚默楠,15011825250,84,63,76,56,907
16064274,赵明涵,11046764219,53,80,62,76,908
16853347,魏玉,11794775902,80,57,63,54,909
17151304,张龙楠,17784197948,70,60,53,83,910
17945125,陶刚玲,16910907286,71,92,60,62,911
17030840,谢刚国,18563216773,66,63,79,75,912
16966126,魏玉,17016119298,69,45,57,60,913
16043490,邹芳立,18340645345,81,66,85,62,914
17395494,张欣,15425016592,44,85,44,96,915
17257962,赵龙妍,10138766498,86,97,86,57,916
16179178,金欣凡,10262889125,72,98,72,72,917
17128712,华军楠,11555687603,97,74,51,54,918
16079278,李刚国,15324094772,99,70,54,96,919
16075420,何明,11997999004,62,99,92,95,920
16109959,郑明,16696266572,87,69,58,55,921
16322021,水默,11781904648,80,91,82,71,922
16360569,张明,15190060557,50,58,67,93,923
16385997,邹龙国,15077527645,54,87,96,80,924
17876925,窦明,17270066485,98,42,60,73,925
17279198,水玉涵,13294924032,49,95,47,46,926
16805705,姜刚,19043760039,52,55,90,40,927
16331827,孔芳,14228869393,91,92,74,58,928
16515819,王玲,18811425644,93,72,72,70,929
17416704,金玲涵,17015633962,90,54,46,88,930
17592055,水军立,16866918265,66,45,75,43,931
16104626,张芳玲,10429698421,77,70,73,91,932
17984550,郑刚涵,13974033143,72,65,88,57,933
16777194,秦军,11543491975,82,62,76,45,934
17872966,何默凡,16280367292,42,69,85,70,935
16876625,金龙玲,13042907526,74,85,67,100,936
17856401,谢芳,15191717767,60,82,65,44,937
16326957,吕玉国,11711347283,80,80,75,97,938
17712915,曹芳楠,12655924047,63,44,48,59,939
16827736,秦欣,16318383751,90,66,47,62,940
16196264,施军,10535756869,40,53,58,63,941
17678894,曹玲涵,16200106740,51,43,86,76,942
17907720,水玉,17114639654,79,92,71,40,943
16345286,谢军凡,15329047821,77,79,80,63,944
16438520,郑刚国,12408771772,93,50,98,68,945
16017588,华玲,19256452445,64,81,97,59,946
16395114,秦默涵,13870942755,83,89,86,60,947
17465313,喻欣,17794188315,59,47,61,43,948
16678513,赵玲,18241114955,41,97,74,97,949
17782240,施玉涵,12699501538,100,95,62,95,950
16030423,章靖立,14872418026,94,74,46,72,951
17042666,柏芳,12370236348,58,100,72,91,952
16814921,金诗,17896267083,65,63,97,71,953
17890280,王诗,13001279347,43,85,84,76,954
16983438,华默,15186415894,100,73,63,67,955
16235722,华玲立,19109749445,89,81,80,54,956
17871939,何玉玲,14811297912,89,45,57,68,957
17710474,曹芳,14231342861,58,83,69,67,958
17801833,陶芳,14790789380,84,45,89,56,959
17021244,赵诗立,16818718114,57,86,84,45,960
17761744,金诗,13029994127,53,61,67,55,961
17395510,金军,10861625067,55,92,49,64,962
16969283,李靖涵,17161163320,73,95,98,96,963
17693006,章欣凡,10820596348,66,49,77,59,964
17050239,喻玲国,13265370229,78,93,95,89,965
17438983,吕玲玲,10838897717,60,94,56,58,966
17796698,陶玲玲,10451057117,55,65,45,89,967
16744332,何靖,18537565577,46,74,47,71,968
17445501,金默玲,14737518162,61,63,83,41,969
17144440,华诗妍,12873247248,44,80,89,58,970
17756688,喻玲涵,19041343724,90,89,97,51,971
16249776,金诗,17421684713,62,46,71,100,972
17360079,李玉楠,10015820168,65,40,81,96,973
17605847,秦靖涵,13611452666,91,53,42,48,974
17362028,邹玲,16814837967,88,94,67,69,975
17578619,曹明,19967619115,60,69,81,45,976
16600275,秦刚涵,17442367129,80,64,85,98,977
17947255,谢玲,13931384611,89,100,96,73,978
16859844,喻欣,12438800201,55,53,91,50,979
16815669,喻诗凡,18542873944,64,85,61,74,980
16344284,陶靖,10416358612,85,84,84,84,981
16370496,章欣楠,16280058637,54,92,93,76,982
16454230,水芳,15741855349,50,90,90,70,983
16567446,吕默,14956178930,70,98,84,98,984
16897705,李龙,11541525911,94,77,52,60,985
17791377,姜默凡,18111110370,79,72,54,78,986
16205906,窦明立,10072864012,65,58,79,71,987
17482730,严默,16275712981,87,42,71,72,988
17720407,姜玲妍,15642777113,52,99,73,100,989
16689641,郑靖,12870168311,71,40,90,88,990
17878213,王玲,13145042277,81,63,86,50,991
16316021,王刚涵,15046762325,74,52,72,86,992
17023143,郑玲凡,16634345474,58,72,73,55,993
17506883,华默,14953005711,80,82,97,66,994
16931775,陶诗,10727590673,47,90,82,54,995
16251450,章明,11553084246,66,81,49,48,996
17933177,曹明,10438597370,43,76,83,65,997
17687777,李明涵,13524964185,55,42,77,48,998
17269680,戚刚立,14952876449,60,70,43,91,999
17926823,施玲涵,13172170444,69,43,69,62,1000
16996995,秦军,17747995553,56,63,65,66,1001
17277510,华默玲,10854013000,47,52,49,78,1002
16593762,李芳,13169615616,92,81,69,99,1003
16567342,水靖,12539189199,82,63,43,77,1004
16095078,邹玲,10588534683,55,57,57,99,1005
17338337,章玲,16200109939,80,84,44,45,1006
16962140,水玉,19125605809,45,88,56,72,1007
17758811,水欣,17097720715,80,81,48,65,1008
16438526,李默凡,13929972554,72,42,62,60,1009
16500620,秦欣国,15723679140,40,71,100,49,1010
17229439,李玲玲,15550691292,87,47,81,56,1011
17815475,章军,19497831440,47,70,94,86,1012
16144827,水军国,10494276823,42,63,45,66,1013
17726056,章芳涵,19625357132,64,64,57,95,1014
17364263,华刚妍,13311848998,90,47,64,88,1015
16915521,谢诗,14937836968,47,74,47,86,1016
17802873,何芳,15853321308,93,52,75,98,1017
17779696,张玲,15600562716,42,53,77,83,1018
17423871,魏芳涵,13863990778,41,95,67,78,1019
17953208,姜玲,12570381183,95,51,89,98,1020
16758424,窦欣玲,13946196614,83,95,50,79,1021
17370022,曹诗,14970697615,50,72,77,78,1022
17953475,姜欣妍,19507905446,42,79,40,76,1023
16172363,窦诗国,19444644115,56,73,73,89,1024
17226386,陶诗,15884626084,70,79,98,66,1025
17083657,金诗,11596604222,66,92,72,61,1026
17719113,曹欣,17924397135,98,80,68,92,1027
16540347,柏欣,18193989964,80,97,69,66,1028
16755199,章玉妍,10296194460,71,81,43,87,1029
16373089,窦芳凡,16080915319,65,62,77,50,1030
17353452,施龙涵,10161684192,47,41,75,65,1031
16899343,金默凡,11932655547,40,79,65,64,1032
16530003,何靖妍,18807422336,80,77,98,56,1033
16250064,窦玲,11714020231,97,96,64,47,1034
17385778,金靖,19606450687,74,88,97,46,1035
17537415,吕默,17391738317,83,75,63,44,1036
17063023,张诗,13656773619,51,42,47,58,1037
17657750,喻龙玲,17204555733,99,50,99,55,1038
16450318,柏龙,13021920802,54,99,48,43,1039
17812728,魏芳,15646179322,69,87,48,68,1040
17748738,戚玲,11154022271,83,53,60,88,1041
16581815,谢军国,13618843829,69,47,75,50,1042
16236129,谢默,13278827997,69,42,95,71,1043
17186727,戚默玲,11955946779,84,97,75,55,1044
17226103,秦玲凡,15552842405,58,67,78,90,1045
17321630,喻欣,10443971544,54,71,95,67,1046
17711707,柏欣,15890427363,69,76,51,47,1047
16588169,秦刚,15149000586,59,71,88,96,1048
16628152,曹玲立,12909883323,78,44,57,65,1049
17839063,华军玲,12151181065,94,88,58,54,1050
16401867,谢明,18943217141,97,76,65,95,1051
17610170,张玲,11536533978,51,57,61,96,1052
17897128,吕刚,17189725369,76,82,46,99,1053
16799270,郑芳涵,18873973232,79,54,54,49,1054
16889819,姜明凡,17359221368,64,68,61,77,1055
16259183,严刚,11514489909,78,61,100,80,1056
16359158,王欣立,16856430805,87,86,87,94,1057
17897947,郑玲,17655575000,80,74,93,43,1058
17449379,吕玲楠,11159490144,89,60,83,92,1059
16739021,戚靖,14666159684,64,79,65,85,1060
17496561,吕靖凡,17989576326,80,99,44,57,1061
16456423,窦欣涵,18809075844,43,88,69,54,1062
16847049,张玉,14444184782,56,40,96,87,1063
17080878,戚默涵,10256864892,56,80,87,98,1064
17639819,柏默,13707549286,92,96,63,89,1065
16086133,华玉,18808655100,98,86,58,75,1066
17210140,华默立,12892521348,47,41,84,86,1067
16642768,何军凡,15882834362,47,45,70,90,1068
17054948,孔靖,17830545818,56,51,71,41,1069
17759444,金芳凡,16764741899,91,96,41,99,1070
17334220,戚玉楠,10173362733,58,95,87,85,1071
17031361,陶芳,16288992170,76,42,69,49,1072
17692454,章军玲,13374278693,43,52,93,60,1073
17621226,戚军,14126363092,55,75,87,54,1074
17931123,吕靖,12633149213,64,55,76,58,1075
17235700,金龙妍,17382110306,52,49,59,58,1076
17592263,姜欣立,19332009120,54,43,77,85,1077
16472363,姜欣,14756397052,75,73,40,84,1078
17449442,张靖,19012383009,82,86,63,97,1079
17243142,谢默,18049414442,61,57,91,60,1080
17626030,谢明凡,16353523044,62,73,50,98,1081
16806553,吕刚国,10200649036,71,40,46,42,1082
16251096,施军玲,18537387686,50,57,96,56,1083
16228024,何玲,11062072202,68,66,74,66,1084
16389121,陶默国,17880246201,53,88,89,46,1085
17973892,郑刚楠,11299191083,58,55,49,41,1086
17918529,张芳,16980103132,58,88,48,98,1087
17905491,柏默,13713463269,66,61,68,91,1088
17136042,陶诗凡,19454954947,45,65,41,41,1089
17988599,戚军,17127991765,78,93,98,76,1090
17309836,李刚,14743013182,48,95,41,71,1091
17823487,喻芳立,17349020261,95,93,67,100,1092
17171696,章刚凡,13474469922,63,41,100,87,1093
17781306,孔刚,15997984483,55,65,66,79,1094
16043984,章龙,18617303523,56,70,59,83,1095
16253890,华默凡,19592053564,55,56,85,47,1096
16833104,李军凡,12298085513,62,59,98,88,1097
16512453,金欣国,15546832911,62,97,73,100,1098
16747160,吕靖,12546344415,89,75,90,72,1099
17681807,邹芳,10900301400,63,94,46,63,1100
17285482,郑龙楠,10147969572,90,66,56,67,1101
16836554,姜刚涵,13694040103,48,42,96,72,1102
16329235,施靖,15411598609,46,67,49,95,1103
16414463,窦刚,11148083697,49,48,76,88,1104
16161283,水靖,12539520450,61,91,62,67,1105
16539565,严靖玲,13354566189,82,91,57,94,1106
17897038,谢玲,18346787016,42,79,56,63,1107
16476685,姜玲凡,14239941300,72,94,93,75,1108
16524053,金龙,19215324066,66,76,55,43,1109
16260912,李刚,13834932889,68,88,47,71,1110
17486438,姜诗,10161180789,47,41,49,72,1111
17975330,李靖楠,16812075722,76,99,100,72,1112
16538338,章军,19742343254,89,81,56,94,1113
16616793,严龙,10955713267,41,85,89,48,1114
16512649,金玲,19703752532,55,86,66,52,1115
17194292,陶欣涵,12612448052,97,48,64,67,1116
17181993,窦玲,16093833372,65,75,40,98,1117
17579035,柏玉,17179485798,91,57,57,93,1118
17781545,金军,18928306775,74,66,83,63,1119
16546161,吕明涵,15804418878,72,85,92,61,1120
17317271,喻刚妍,12683957449,73,92,53,66,1121
17219806,戚玲,17414638470,66,75,83,53,1122
16804925,陶诗,14964542453,67,41,62,46,1123
16718887,何靖,19820374320,51,45,40,88,1124
16669956,吕军,18043497813,65,90,58,67,1125
17665819,柏玲,12883629729,48,55,87,69,1126
16456570,吕刚,19587037788,68,45,52,73,1127
16438802,章龙,19266282028,54,67,98,85,1128
17808111,曹默妍,14962353583,93,70,61,77,1129
17997531,姜诗,12871334614,55,88,69,80,1130
16163692,水龙,10661500503,96,69,58,75,1131
16696717,谢明,10476286403,53,47,84,42,1132
17850903,华军,11347189445,47,77,75,47,1133
16256773,华龙,10659233448,40,90,53,58,1134
16250054,窦军,14265447959,55,49,73,89,1135
16704921,水龙,15758203926,60,69,83,73,1136
17240935,魏靖,15385370038,45,90,61,61,1137
16863504,喻芳,16356763618,77,59,42,96,1138
16373411,郑欣,13751743218,49,71,52,49,1139
17601573,金玉,19952090055,93,86,87,58,1140
16889906,窦明,18232734509,62,69,56,72,1141
16441661,谢明楠,18671103429,91,66,40,97,1142
16616949,赵芳涵,10432451758,42,45,65,90,1143
16173926,姜龙妍,10647784122,60,73,69,49,1144
17435323,李明,15886856332,60,77,48,87,1145
16069485,严默,10150208278,84,47,72,99,1146
17197195,魏明妍,10495148486,80,60,63,67,1147
17050685,章欣凡,16762895088,62,97,41,78,1148
